ID	NAME	ORGANISM	SCORE	TAXID	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES
AHB20140.1	tegument protein TRS1 	Human herpesvirus 5	247.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI24132.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR54989.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI20091.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACS92096.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI08388.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI12900.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI14072.1	tegument protein TRS1 	Human herpesvirus 5	247.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHB20107.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI24100.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACS92064.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR54957.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI08355.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI12867.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI14040.1	tegument protein IRS1 	Human herpesvirus 5	247.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16080.1	tegument protein TRS1 	Human herpesvirus 5	246.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16048.1	tegument protein IRS1 	Human herpesvirus 5	246.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI10906.1	tegument protein TRS1 	Human herpesvirus 5	245.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI10873.1	tegument protein IRS1 	Human herpesvirus 5	245.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI19923.1	tegument protein TRS1 	Human herpesvirus 5	245.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADD39185.1	tegument protein TRS1 	Human herpesvirus 5	245.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI19890.1	tegument protein IRS1 	Human herpesvirus 5	245.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADD39153.1	tegument protein IRS1 	Human herpesvirus 5	244.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI23100.1	tegument protein TRS1 	Human herpesvirus 5	244.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI23067.1	tegument protein IRS1 	Human herpesvirus 5	244.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI14576.1	tegument protein TRS1 	Human herpesvirus 5	244.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI09395.1	tegument protein TRS1 	Human herpesvirus 5	244.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI14543.1	tegument protein IRS1 	Human herpesvirus 5	244.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI09363.1	tegument protein IRS1 	Human herpesvirus 5	244.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16914.1	tegument protein TRS1 	Human herpesvirus 5	244.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16881.1	tegument protein IRS1 	Human herpesvirus 5	244.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI18081.1	tegument protein TRS1 	Human herpesvirus 5	244.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMO64511.1	tegument protein TRS1 	Human herpesvirus 5	244.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI18050.1	tegument protein IRS1 	Human herpesvirus 5	244.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMO64479.1	tegument protein IRS1 	Human herpesvirus 5	244.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI26329.1	tegument protein TRS1 	Human herpesvirus 5	243.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI15246.1	tegument protein TRS1 	Human herpesvirus 5	243.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI26297.1	tegument protein IRS1 	Human herpesvirus 5	243.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI15213.1	tegument protein IRS1 	Human herpesvirus 5	243.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI23932.1	tegument protein IRS1 	Human herpesvirus 5	243.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55822.1	tegument protein TRS1 	Human herpesvirus 5	243.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22429.1	tegument protein TRS1 	Human herpesvirus 5	243.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI07886.1	tegument protein TRS1 	Human herpesvirus 5	243.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22932.1	tegument protein TRS1 	Human herpesvirus 5	243.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55792.1	tegument protein IRS1 	Human herpesvirus 5	243.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22396.1	tegument protein IRS1 	Human herpesvirus 5	243.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI25656.1	tegument protein TRS1 	Human herpesvirus 5	243.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI07854.1	tegument protein IRS1 	Human herpesvirus 5	243.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22899.1	tegument protein IRS1 	Human herpesvirus 5	243.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ85250.1	tegument protein TRS1 	Human herpesvirus 5	242.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI25624.1	tegument protein IRS1 	Human herpesvirus 5	242.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI08891.1	tegument protein TRS1 	Human herpesvirus 5	242.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI15078.1	tegument protein TRS1 	Human herpesvirus 5	242.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADV04488.1	tegument protein TR1 	Human herpesvirus 5	242.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ85218.1	tegument protein IRS1 	Human herpesvirus 5	242.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI08858.1	tegument protein IRS1 	Human herpesvirus 5	242.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADV04456.1	tegument protein IRS1 	Human herpesvirus 5	242.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI15046.1	tegument protein IRS1 	Human herpesvirus 5	242.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16415.1	tegument protein TRS1 	Human herpesvirus 5	242.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
YP_081619.1	tegument protein TRS1 	Human herpesvirus 5	242.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACT81842.1	tegument protein TRS1 	Human herpesvirus 5	242.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55990.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI09227.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ84742.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AIC80254.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI12237.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI13571.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR56158.1	tegument protein TRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16382.1	tegument protein IRS1 	Human herpesvirus 5	242.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACT81810.1	tegument protein IRS1 	Human herpesvirus 5	242.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
